dt,orders
2016-12-28,20198
2016-12-29,24941
2016-12-30,33208
2016-12-31,31989
2017-01-01,34997
2017-01-02,33539
2017-01-03,24611
2017-01-04,23249
2017-01-05,25281
2017-01-06,28294
2017-01-07,28887
2017-01-08,31308
2017-01-09,32215
2017-01-10,35416
2017-01-11,38991
2017-01-12,44386
2017-01-13,45350
2017-01-14,44887
2017-01-15,48113
2017-01-16,57164
2017-01-17,57434
2017-01-18,61995
2017-01-19,66025
2017-01-20,65898
2017-01-21,63666
2017-01-22,61492
2017-01-23,61533
2017-01-24,57751
2017-01-25,45732
2017-01-26,30299
2017-01-27,20084
2017-01-28,29704
2017-01-29,41482
2017-01-30,48656
2017-01-31,54411
2017-02-01,61149
2017-02-02,58754
2017-02-03,52956
2017-02-04,47508
2017-02-05,38019
2017-02-06,34678
2017-02-07,31392
2017-02-08,28271
2017-02-09,29114
2017-02-10,31878
2017-02-11,33607
2017-02-12,34358
2017-02-13,28691
2017-02-14,26885
2017-02-15,28706
2017-02-16,27021
2017-02-17,27469
2017-02-18,25510
2017-02-19,22807
2017-02-20,17818
2017-02-21,16147
2017-02-22,17327
2017-02-23,19102
2017-02-24,20485
2017-02-25,20311
2017-02-26,20012
2017-02-27,15569
2017-02-28,15259
2017-03-01,15478
2017-03-02,17524
2017-03-03,21127
2017-03-04,18202
2017-03-05,19032
2017-03-06,15373
2017-03-07,14252
2017-03-08,12138
2017-03-09,15822
2017-03-10,18828
2017-03-11,16891
2017-03-12,17731
2017-03-13,13572
2017-03-14,14130
2017-03-15,15242
2017-03-16,17991
2017-03-17,20991
2017-03-18,18714
2017-03-19,20713
2017-03-20,15884
2017-03-21,15272
2017-03-22,16572
2017-03-23,17939
2017-03-24,19428
2017-03-25,17484
2017-03-26,20979
2017-03-27,21408
2017-03-28,24136
2017-03-29,31239
2017-03-30,36861
2017-03-31,50094
2017-04-01,68622
2017-04-02,56905
2017-04-03,55644
2017-04-04,46929
2017-04-05,26534
2017-04-06,20878
2017-04-07,21456
2017-04-08,19649
2017-04-09,20160
2017-04-10,17263
2017-04-11,16195
2017-04-12,18144
2017-04-13,20280
2017-04-14,23546
2017-04-15,22146
2017-04-16,23912
2017-04-17,19205
2017-04-18,19073
2017-04-19,18377
2017-04-20,21043
2017-04-21,23742
2017-04-22,23052
2017-04-23,27929
2017-04-24,27368
2017-04-25,33062
2017-04-26,42762
2017-04-27,60997
2017-04-28,79535
2017-04-29,64316
2017-04-30,66005
2017-05-01,60109
2017-05-02,23139
2017-05-03,17649
2017-05-04,17634
2017-05-05,18311
2017-05-06,16482
2017-05-07,16851
2017-05-08,13830
2017-05-09,13593
2017-05-10,14636
2017-05-11,16396
2017-05-12,19658
2017-05-13,17879
2017-05-14,19162
2017-05-15,15454
2017-05-16,15641
2017-05-17,16169
2017-05-18,17874
2017-05-19,20316
2017-05-20,20108
2017-05-21,23933
2017-05-22,21630
2017-05-23,23088
2017-05-24,27845
2017-05-25,32729
2017-05-26,45656
2017-05-27,59673
2017-05-28,46481
2017-05-29,46748
2017-05-30,38580
2017-05-31,22572
2017-06-01,18827
2017-06-02,18675
2017-06-03,17452
2017-06-04,18161
2017-06-05,15651
2017-06-06,15681
2017-06-07,16783
2017-06-08,18661
2017-06-09,22293
2017-06-10,20203
2017-06-11,22741
2017-06-12,19505
2017-06-13,18706
2017-06-14,19262
2017-06-15,20900
2017-06-16,24182
2017-06-17,22539
2017-06-18,24557
2017-06-19,21041
2017-06-20,21326
2017-06-21,22670
2017-06-22,25323
2017-06-23,29503
2017-06-24,27753
2017-06-25,29720
2017-06-26,27769
2017-06-27,27631
2017-06-28,29455
2017-06-29,31645
2017-06-30,36503
2017-07-01,38258
2017-07-02,36932
2017-07-03,33453
2017-07-04,32206
2017-07-05,30844
2017-07-06,31645
2017-07-07,32768
2017-07-08,29339
2017-07-09,31440
2017-07-10,27735
2017-07-11,26424
2017-07-12,26633
2017-07-13,26671
2017-07-14,29559
2017-07-15,26812
2017-07-16,29283
2017-07-17,25373
2017-07-18,23731
2017-07-19,23984
2017-07-20,25835
2017-07-21,28947
2017-07-22,26457
2017-07-23,27481
2017-07-24,24185
2017-07-25,23667
2017-07-26,23900
2017-07-27,25460
2017-07-28,28952
2017-07-29,27585
2017-07-30,30290
2017-07-31,27697
2017-08-01,27496
2017-08-02,27551
2017-08-03,28247
2017-08-04,32009
2017-08-05,30163
2017-08-06,31767
2017-08-07,28424
2017-08-08,26676
2017-08-09,28562
2017-08-10,31348
2017-08-11,34733
2017-08-12,31925
2017-08-13,33677
2017-08-14,31212
2017-08-15,32006
2017-08-16,33063
2017-08-17,34803
2017-08-18,39356
2017-08-19,36680
2017-08-20,39291
2017-08-21,37697
2017-08-22,36311
2017-08-23,37473
2017-08-24,40184
2017-08-25,44506
2017-08-26,42345
2017-08-27,42184
2017-08-28,37274
2017-08-29,36090
2017-08-30,34591
2017-08-31,35262
2017-09-01,39634
