dt,tickets
2016-01-01,340474
2016-01-02,351059
2016-01-03,339136
2016-01-04,322228
2016-01-05,318151
2016-01-06,332323
2016-01-07,351367
2016-01-08,350925
2016-01-09,330718
2016-01-10,337357
2016-01-11,333323
2016-01-12,345252
2016-01-13,340861
2016-01-14,333177
2016-01-15,354778
2016-01-16,339420
2016-01-17,345045
2016-01-18,339642
2016-01-19,330136
2016-01-20,341067
2016-01-21,322137
2016-01-22,353114
2016-01-23,299094
2016-01-24,324923
2016-01-25,331330
2016-01-26,331048
2016-01-27,321630
2016-01-28,341074
2016-01-29,338497
2016-01-30,321046
2016-01-31,327921
2016-02-01,330658
2016-02-02,329630
2016-02-03,329683
2016-02-04,317446
2016-02-05,299826
2016-02-06,256497
2016-02-07,193967
2016-02-08,283870
2016-02-09,314576
2016-02-10,378161
2016-02-11,386319
2016-02-12,434161
2016-02-13,472715
2016-02-14,411853
2016-02-15,436385
2016-02-16,446630
2016-02-17,438510
2016-02-18,447328
2016-02-19,451527
2016-02-20,413568
2016-02-21,396494
2016-02-22,387196
2016-02-23,430428
2016-02-24,419215
2016-02-25,423238
2016-02-26,426081
2016-02-27,393104
2016-02-28,379320
2016-02-29,362406
2016-03-01,361023
2016-03-02,361289
2016-03-03,369102
2016-03-04,395451
2016-03-05,367680
2016-03-06,361315
2016-03-07,334311
2016-03-08,322507
2016-03-09,335824
2016-03-10,359980
2016-03-11,395342
2016-03-12,360783
2016-03-13,359181
2016-03-14,341943
2016-03-15,347840
2016-03-16,364240
2016-03-17,387887
2016-03-18,416561
2016-03-19,383891
2016-03-20,389610
2016-03-21,368284
2016-03-22,367646
2016-03-23,376448
2016-03-24,401476
2016-03-25,432987
2016-03-26,410263
2016-03-27,423768
2016-03-28,416752
2016-03-29,419846
2016-03-30,445178
2016-03-31,483597
2016-04-01,528986
2016-04-02,491766
2016-04-03,474173
2016-04-04,453727
2016-04-05,419911
2016-04-06,403478
2016-04-07,423005
2016-04-08,444874
2016-04-09,411173
2016-04-10,414116
2016-04-11,406151
2016-04-12,410079
2016-04-13,421680
2016-04-14,430272
2016-04-15,473460
2016-04-16,451538
2016-04-17,457744
2016-04-18,447402
2016-04-19,452135
2016-04-20,458343
2016-04-21,482446
2016-04-22,505370
2016-04-23,476412
2016-04-24,493379
2016-04-25,484171
2016-04-26,518158
2016-04-27,535485
2016-04-28,558985
2016-04-29,608563
2016-04-30,590071
2016-05-01,571926
2016-05-02,518853
2016-05-03,466236
2016-05-04,454842
2016-05-05,466080
2016-05-06,477325
2016-05-07,431995
2016-05-08,429592
2016-05-09,427459
2016-05-10,435931
2016-05-11,447898
2016-05-12,470426
2016-05-13,498366
2016-05-14,467355
2016-05-15,473017
2016-05-16,467143
2016-05-17,471016
2016-05-18,480993
2016-05-19,510674
2016-05-20,529711
2016-05-21,491169
2016-05-22,490013
2016-05-23,467743
2016-05-24,466153
2016-05-25,483350
2016-05-26,513901
2016-05-27,532463
2016-05-28,493410
2016-05-29,495576
2016-05-30,479907
2016-05-31,480701
2016-06-01,506269
2016-06-02,541960
2016-06-03,574212
2016-06-04,538462
2016-06-05,562842
2016-06-06,598701
2016-06-07,619183
2016-06-08,653941
2016-06-09,572839
2016-06-10,596613
2016-06-11,567013
2016-06-12,521455
2016-06-13,510078
2016-06-14,506683
2016-06-15,526505
2016-06-16,559269
2016-06-17,582103
2016-06-18,525799
2016-06-19,541416
2016-06-20,544447
2016-06-21,544431
2016-06-22,563245
2016-06-23,582953
2016-06-24,614810
2016-06-25,578949
2016-06-26,578414
2016-06-27,580782
2016-06-28,596204
2016-06-29,613480
2016-06-30,645650
2016-07-01,696896
2016-07-02,660613
2016-07-03,644767
2016-07-04,651030
2016-07-05,647144
2016-07-06,654233
2016-07-07,667787
2016-07-08,663428
2016-07-09,631402
2016-07-10,635518
2016-07-11,625653
2016-07-12,627103
2016-07-13,641185
2016-07-14,650979
2016-07-15,681417
2016-07-16,652385
2016-07-17,643286
2016-07-18,652086
2016-07-19,646944
2016-07-20,660970
2016-07-21,694485
2016-07-22,722377
2016-07-23,648447
2016-07-24,637552
2016-07-25,649114
2016-07-26,652507
2016-07-27,646525
2016-07-28,677146
2016-07-29,686524
2016-07-30,635426
2016-07-31,673335
2016-08-01,690685
